TEXT,CREATED_AT,GROUP_NAME,BUILDING_NAME,CLIENT_NAME
Selling XL Dog crate for $65 OBO,2026-02-06 16:08:31.977196,Tribeca Tower Marketplace,Tribeca Tower,Related
"I’m looking to sell my very lightly used Trek Emonda road bike.  Let me know if you’re interested.  Cheers!

2021 TREK EMONDA ALR 5 DISC 58 GRAY-BLK

Includes Shimano  PD-EH500 SPD pedals

$2000 obo",2026-02-06 15:39:18.727011,Mason on Mariposa Marketplace,Mason on Mariposa,Related
"I’m looking to sell my very lightly used Trek Emonda road bike.  Let me know if you’re interested.  Cheers!

2021 TREK EMONDA ALR 5 DISC 58 GRAY-BLK

Includes Shimano  PD-EH500 SPD pedals

$2000 obo",2026-02-06 15:39:18.727011,Mason on Mariposa Marketplace,Mason on Mariposa,Related
Also interested,2026-02-06 15:10:51.186098,Marketplace Exchange at Riverwalk Heights,Riverwalk Heights,Related
I will take it,2026-02-06 14:03:12.281128,Marketplace Exchange at Riverwalk Heights,Riverwalk Heights,Related
Giving away 3-drawer dresser. Let me know if interested!,2026-02-06 14:02:08.448737,Marketplace Exchange at Riverwalk Heights,Riverwalk Heights,Related
"Selling Moose Knuckles size XS black Parka with Fur Hood ($450).  Features full zip front, multiple pockets and designed for warmth and style. In very good condition. 
",2026-02-05 21:55:31.220115,Tribeca Tower Marketplace,Tribeca Tower,Related
Happy Tails in FiDi is great. The staff is always kind and they’ve given our 20lb cockapoo a lot of love,2026-02-05 20:22:43.662044,Pet Parents of Tribeca Tower,Tribeca Tower,Related
Hi! can anyone recommend a personal trainer who can come and train me in the gym in the building? ,2026-02-05 20:22:22.191800,Fitness at Tribeca Tower,Tribeca Tower,Related
Hi! Can anyone recommend a  doggy daycare that isn't the one right across the street? We have a 7-pound toy poodle and are looking for a place to send her occasionally. Thanks!,2026-02-05 20:20:09.766037,Pet Parents of Tribeca Tower,Tribeca Tower,Related
Hi! Can anyone suggest a good doggy daycare that isn't the one l right across the street?,2026-02-05 20:17:28.421091,Pet Parents of Tribeca Tower,Tribeca Tower,Related
"Selling a brand new HoMedics XL Towel Warmer, never opened and still in the box. $30 OBO",2026-02-05 20:09:36.961477,MiMA Marketplace,MIMA,Related
